Col:   0, Unique:    14, ValueType:  INT32
Col: 103, Unique:    68, ValueType:  INT32
Col: 104, Unique:    49, ValueType:  INT32
Col: 105, Unique:    52, ValueType:  INT32
Col: 106, Unique:    71, ValueType:  INT32
Col: 107, Unique:    51, ValueType:  INT32
Col: 108, Unique:    49, ValueType:  INT32
Col: 109, Unique:   104, ValueType:  INT32
Col: 110, Unique:    55, ValueType:  INT32
Col: 111, Unique:    57, ValueType:  INT32
Col: 112, Unique:    33, ValueType:  INT32
Col: 113, Unique:    31, ValueType:  INT32
Col: 114, Unique:    51, ValueType:  INT32
Col: 115, Unique:    53, ValueType:  INT32
Col: 116, Unique:    47, ValueType:  INT32
Col: 117, Unique:    44, ValueType:  INT32
Col: 118, Unique:    58, ValueType:  INT32
Col: 119, Unique:    39, ValueType:  INT32
Col: 120, Unique:    98, ValueType:  INT32
Col: 121, Unique:    95, ValueType:  INT32
Col: 122, Unique:    69, ValueType:  INT32
Col: 123, Unique:    84, ValueType:  INT32
Col: 124, Unique:    81, ValueType:  INT32
Col: 125, Unique:    69, ValueType:  INT32
Col: 126, Unique:    87, ValueType:  INT32
Col: 127, Unique:    62, ValueType:  INT32
Col: 128, Unique:    58, ValueType:  INT32
Col: 129, Unique:    57, ValueType:  INT32
Col: 130, Unique:    74, ValueType:  INT32
Col: 131, Unique:    31, ValueType:  INT32
Col: 132, Unique:    57, ValueType:  INT32
Col: 133, Unique:    88, ValueType:  INT32
Col: 134, Unique:   304, ValueType:  INT32
Col: 135, Unique:   271, ValueType:  INT32
Col: 136, Unique:   101, ValueType:  INT32
Col: 137, Unique:   101, ValueType:  INT32
Col: 138, Unique:    90, ValueType:  INT32
Col: 139, Unique:   108, ValueType:  INT32
Col: 140, Unique:   109, ValueType:  INT32
Col: 141, Unique:   117, ValueType:  INT32
Col: 142, Unique:   101, ValueType:  INT32
Col: 143, Unique:    50, ValueType:  INT32
Col: 144, Unique:   166, ValueType:  INT32
Col: 145, Unique:  2082, ValueType:  INT32
Col: 146, Unique:  2291, ValueType:  INT32
Col: 147, Unique:    14, ValueType:  INT32
Col: 148, Unique:    13, ValueType:  INT32
Col: 149, Unique:   102, ValueType:  INT32
Col: 150, Unique:   102, ValueType:  INT32
Col: 151, Unique:   108, ValueType:  INT32
Col: 152, Unique:   113, ValueType:  INT32
Col: 153, Unique:   114, ValueType:  INT32
Col: 154, Unique:    81, ValueType:  INT32
Col: 155, Unique:    96, ValueType:  INT32
Col: 156, Unique:    94, ValueType:  INT32
Col: 157, Unique:    75, ValueType:  INT32
Col: 158, Unique:    94, ValueType:  INT32
Col: 159, Unique:    97, ValueType:  INT32
Col: 160, Unique:    49, ValueType:  INT32
Col: 161, Unique:     9, ValueType:  INT32
Col: 162, Unique:    40, ValueType:  INT32
Col: 163, Unique:    63, ValueType:  INT32
Col: 164, Unique:    65, ValueType:  INT32
Col: 165, Unique:    58, ValueType:  INT32
Col: 166, Unique:    38, ValueType:  INT32
Col: 167, Unique:    85, ValueType:  INT32
Col: 168, Unique:   119, ValueType:  INT32
Col: 169, Unique:    61, ValueType:  INT32
Col: 170, Unique:   113, ValueType:  INT32
Col: 171, Unique:    46, ValueType:  INT32
Col: 172, Unique:   165, ValueType:  INT32
Col: 173, Unique:   100, ValueType:  INT32
Col: 174, Unique:   101, ValueType:  INT32
Col: 175, Unique:   100, ValueType:  INT32
Col: 176, Unique:    99, ValueType:  INT32
Col: 177, Unique:   147, ValueType:  INT32
Col: 178, Unique:   108, ValueType:  INT32
Col: 179, Unique:   100, ValueType:  INT32
Col: 180, Unique:    67, ValueType:  INT32
Col: 181, Unique:    67, ValueType:  INT32
Col: 182, Unique:    16, ValueType:  INT32
Col: 183, Unique:    16, ValueType:  INT32
Col: 184, Unique:   103, ValueType:  INT32
Col: 185, Unique:   137, ValueType:  INT32
Col: 186, Unique:   124, ValueType:  INT32
Col: 187, Unique:    62, ValueType:  INT32
Col: 188, Unique:    62, ValueType:  INT32
Col: 189, Unique:   144, ValueType:  INT32
Col: 190, Unique:    30, ValueType:  INT32
Col: 191, Unique:   100, ValueType:  INT32
Col: 192, Unique:   100, ValueType:  INT32
Col: 193, Unique:   100, ValueType:  INT32
Col: 194, Unique:    99, ValueType:  INT32
Col: 195, Unique:   312, ValueType:  INT32
Col: 196, Unique:   186, ValueType:  INT32
Col: 197, Unique:   202, ValueType:  INT32
Col: 198, Unique:   662, ValueType:  INT32
Col: 199, Unique:   683, ValueType:  INT32
Col: 200, Unique:   707, ValueType:  INT32
Col: 201, Unique:   715, ValueType:  INT32
Col: 202, Unique: 12412, ValueType:  INT32
Col: 203, Unique:    79, ValueType:  INT32
Col: 204, Unique:    43, ValueType:  INT32
Col: 205, Unique:    44, ValueType:  INT32
Col: 206, Unique:    52, ValueType:  INT32
Col: 207, Unique:    53, ValueType:  INT32
Col: 208, Unique:    33, ValueType:  INT32
Col: 209, Unique:    33, ValueType:  INT32
Col: 210, Unique:    20, ValueType:  INT32
Col: 211, Unique:   146, ValueType:  INT32
Col: 212, Unique:    76, ValueType:  INT32
Col: 213, Unique:    53, ValueType:  INT32
Col: 214, Unique:    53, ValueType:  INT32
Col: 215, Unique:    60, ValueType:  INT32
Col: 216, Unique:    60, ValueType:  INT32
Col: 217, Unique:    37, ValueType:  INT32
Col: 218, Unique:    35, ValueType:  INT32
Col: 219, Unique:    33, ValueType:  INT32
Col: 220, Unique:   126, ValueType:  INT32
Col: 221, Unique:    95, ValueType:  INT32
Col: 222, Unique:    64, ValueType:  INT32
Col: 223, Unique:    97, ValueType:  INT32
Col: 224, Unique:    84, ValueType:  INT32
Col: 225, Unique:    90, ValueType:  INT32
Col: 226, Unique:    91, ValueType:  INT32
Col: 227, Unique:    77, ValueType:  INT32
Col: 228, Unique:    94, ValueType:  INT32
Col: 229, Unique:    43, ValueType:  INT32
Col: 230, Unique:   119, ValueType:  INT32
Col: 231, Unique:    89, ValueType:  INT32
Col: 232, Unique:    31, ValueType:  INT32
Col: 233, Unique:    22, ValueType:  INT32
Col: 234, Unique:    11, ValueType:  INT32
Col: 235, Unique:    72, ValueType:  INT32
Col: 236, Unique:    26, ValueType:  INT32
Col: 237, Unique:   137, ValueType:  INT32
Col: 238, Unique:    91, ValueType:  INT32
Col: 239, Unique:    66, ValueType:  INT32
Col: 240, Unique:    54, ValueType:  INT32
Col: 241, Unique:    65, ValueType:  INT32
Col: 242, Unique:    86, ValueType:  INT32
Col: 243, Unique:    96, ValueType:  INT32
Col: 244, Unique:   105, ValueType:  INT32
Col: 245, Unique:    98, ValueType:  INT32
Col: 246, Unique:    90, ValueType:  INT32
Col: 247, Unique:    93, ValueType:  INT32
Col: 248, Unique:    89, ValueType:  INT32
Col: 249, Unique:    97, ValueType:  INT32
Col: 250, Unique:   108, ValueType:  INT32
Col: 251, Unique:    83, ValueType:  INT32
Col: 252, Unique:   102, ValueType:  INT32
Col: 253, Unique:    59, ValueType:  INT32
Col: 254, Unique:    47, ValueType:  INT32
Col: 255, Unique:    17, ValueType:  INT32
Col: 256, Unique:    42, ValueType:  INT32
Col: 257, Unique:    54, ValueType:  INT32
Col: 258, Unique:    12, ValueType:  INT32
Col: 259, Unique:    20, ValueType:  INT32
Col: 260, Unique:    59, ValueType:  INT32
Col: 261, Unique:    58, ValueType:  INT32
Col: 262, Unique:    42, ValueType:  INT32
Col: 263, Unique:    39, ValueType:  INT32
Col: 264, Unique:    33, ValueType:  INT32
Col: 265, Unique:    24, ValueType:  INT32
Col: 266, Unique:    79, ValueType:  INT32
Col: 267, Unique:    49, ValueType:  INT32
Col: 268, Unique:    30, ValueType:  INT32
Col: 269, Unique:    63, ValueType:  INT32
Col: 270, Unique:    35, ValueType:  INT32
Col: 271, Unique:    23, ValueType:  INT32
Col: 272, Unique:    30, ValueType:  INT32
Col: 273, Unique:    54, ValueType:  INT32
Col: 274, Unique:    46, ValueType:  INT32
Col: 275, Unique:    27, ValueType:  INT32
Col: 276, Unique:    65, ValueType:  INT32
Col: 277, Unique:    53, ValueType:  INT32
Col: 278, Unique:    32, ValueType:  INT32
Col: 279, Unique:    48, ValueType:  INT32
Col: 280, Unique:    38, ValueType:  INT32
Col: 281, Unique:    47, ValueType:  INT32
Col: 282, Unique:    36, ValueType:  INT32
Col: 283, Unique:    57, ValueType:  INT32
Col: 284, Unique:    85, ValueType:  INT32
Col: 285, Unique:    46, ValueType:  INT32
Col: 286, Unique:    73, ValueType:  INT32
Col: 287, Unique:    53, ValueType:  INT32
Col: 288, Unique:    13, ValueType:  INT32
Col: 289, Unique:   109, ValueType:  INT32
Col: 290, Unique:    54, ValueType:  INT32
Col: 291, Unique:    47, ValueType:  INT32
Col: 292, Unique:    58, ValueType:  INT32
Col: 293, Unique:    45, ValueType:  INT32
Col: 294, Unique:    24, ValueType:  INT32
Col: 295, Unique:    52, ValueType:  INT32
Col: 296, Unique:    56, ValueType:  INT32
Col: 297, Unique:    51, ValueType:  INT32
Col: 298, Unique:    75, ValueType:  INT32
Col: 299, Unique:    16, ValueType:  INT32
Col: 300, Unique:    42, ValueType:  INT32
Col: 301, Unique:   109, ValueType:  INT32
Col: 302, Unique:    74, ValueType:  INT32
Col: 303, Unique:   127, ValueType:  INT32
Col: 304, Unique:    21, ValueType:  INT32
Col: 305, Unique:    48, ValueType:  INT32
Col: 306, Unique:    77, ValueType:  INT32
Col: 307, Unique:    26, ValueType:  INT32
Col: 308, Unique:    82, ValueType:  INT32
Col: 309, Unique:    68, ValueType:  INT32
Col: 310, Unique:    89, ValueType:  INT32
Col: 311, Unique:    84, ValueType:  INT32
Col: 312, Unique:    95, ValueType:  INT32
Col: 313, Unique:    42, ValueType:  INT32
Col: 314, Unique:    19, ValueType:  INT32
Col: 315, Unique:    74, ValueType:  INT32
Col: 316, Unique:    11, ValueType:  INT32
Col: 317, Unique:    10, ValueType:  INT32
Col: 318, Unique:    36, ValueType:  INT32
Col: 319, Unique:    38, ValueType:  INT32
Col: 320, Unique:   116, ValueType:  INT32
Col: 321, Unique:    67, ValueType:  INT32
Col: 322, Unique:    20, ValueType:  INT32
Col: 323, Unique:    26, ValueType:  INT32
Col: 324, Unique:    12, ValueType:  INT32
Col: 325, Unique:    45, ValueType:  INT32
Col: 326, Unique:     4, ValueType:  INT32
Col: 327, Unique:    98, ValueType:  INT32
Col: 328, Unique:    98, ValueType:  INT32
Col: 329, Unique:   136, ValueType:  INT32
Col: 330, Unique:   159, ValueType:  INT32
Col: 331, Unique:   119, ValueType:  INT32
Col: 332, Unique:    84, ValueType:  INT32
Col: 333, Unique:    81, ValueType:  INT32
Col: 334, Unique:   102, ValueType:  INT32
Col: 335, Unique:    61, ValueType:  INT32
Col: 336, Unique:    35, ValueType:  INT32
Col: 337, Unique:    53, ValueType:  INT32
Col: 338, Unique:   107, ValueType:  INT32
Col: 339, Unique:   107, ValueType:  INT32
Col: 340, Unique:   101, ValueType:  INT32
Col: 341, Unique:   100, ValueType:  INT32
Col: 342, Unique:   100, ValueType:  INT32
Col: 343, Unique:   100, ValueType:  INT32
Col: 344, Unique:    94, ValueType:  INT32
Col: 345, Unique:    38, ValueType:  INT32
Col: 346, Unique:   100, ValueType:  INT32
Col: 347, Unique:   107, ValueType:  INT32
Col: 348, Unique:   100, ValueType:  INT32
Col: 349, Unique:    91, ValueType:  INT32
Col: 350, Unique:     8, ValueType:  INT32
Col: 351, Unique:   103, ValueType:  INT32
Col: 352, Unique:   109, ValueType:  INT32
Col: 353, Unique:   113, ValueType:  INT32
Col: 354, Unique:   103, ValueType:  INT32
Col: 355, Unique:    27, ValueType:  INT32
Col: 356, Unique:    57, ValueType:  INT32
Col: 357, Unique:    21, ValueType:  INT32
Col: 358, Unique:     6, ValueType:  INT32
Col: 359, Unique:    26, ValueType:  INT32
Col: 360, Unique:    28, ValueType:  INT32
Col: 361, Unique:     1, ValueType:  INT32
Col: 362, Unique:     2, ValueType:  INT32
Col: 363, Unique:     6, ValueType:  INT32
Col: 364, Unique:     2, ValueType:  INT32
Col: 365, Unique:     2, ValueType:  INT32
Col: 366, Unique:     4, ValueType:  INT32
Col: 367, Unique:     5, ValueType:  INT32
Col: 368, Unique:     4, ValueType:  INT32
Col: 369, Unique:     3, ValueType:  INT32
Col: 370, Unique:     5, ValueType:  INT32
Col: 371, Unique:     5, ValueType:  INT32
Col: 372, Unique:     4, ValueType:  INT32
Col: 373, Unique:     3, ValueType:  INT32
Col: 374, Unique:     2, ValueType:  INT32
Col: 375, Unique:     4, ValueType:  INT32
Col: 376, Unique:     3, ValueType:  INT32
Col: 377, Unique:     7, ValueType:  INT32
Col: 378, Unique:     4, ValueType:  INT32
Col: 379, Unique:     2, ValueType:  INT32
Col: 380, Unique:     3, ValueType:  INT32
Col: 381, Unique:     4, ValueType:  INT32
Col: 382, Unique:     3, ValueType:  INT32
Col: 383, Unique:     3, ValueType:  INT32
Col: 384, Unique:    14, ValueType: STRING
Col: 385, Unique:    59, ValueType: STRING
Col: 386, Unique:    60, ValueType: STRING
Col: 387, Unique:    41, ValueType: STRING
Col: 388, Unique:    86, ValueType: STRING
Col: 389, Unique:    91, ValueType: STRING
Col: 390, Unique:    99, ValueType: STRING
Col: 391, Unique:    96, ValueType: STRING
Col: 392, Unique:    83, ValueType: STRING
Col: 393, Unique:    85, ValueType: STRING
Col: 394, Unique:    86, ValueType: STRING
Col: 395, Unique:    74, ValueType: STRING
Col: 396, Unique:    96, ValueType: STRING
Col: 397, Unique:    30, ValueType: STRING
Col: 398, Unique:   120, ValueType: STRING
Col: 399, Unique:   124, ValueType: STRING
Col: 400, Unique:   122, ValueType: STRING
Col: 401, Unique:   115, ValueType: STRING
Col: 402, Unique:    71, ValueType: STRING
Col: 403, Unique:   104, ValueType: STRING
Col: 404, Unique:   118, ValueType: STRING
Col: 405, Unique:    69, ValueType: STRING
Col: 406, Unique:    92, ValueType: STRING
Col: 407, Unique:    43, ValueType:  INT32
Col: 408, Unique:     4, ValueType:  INT32
Col: 409, Unique:   124, ValueType:  INT32
Col: 410, Unique:    29, ValueType:  INT32
Col: 411, Unique:    70, ValueType:  INT32
Col: 412, Unique:     6, ValueType:  INT32
Col: 413, Unique:    22, ValueType:  INT32
Col: 414, Unique:    12, ValueType:  INT32
Col: 415, Unique:     5, ValueType:  INT32
Col: 416, Unique:     5, ValueType:  INT32
Col: 417, Unique:     6, ValueType:  INT32
Col: 418, Unique:     7, ValueType:  INT32
Col: 419, Unique:     7, ValueType:  INT32
Col: 420, Unique:    11, ValueType:  INT32
Col: 421, Unique:     8, ValueType:  INT32
Col: 422, Unique:    19, ValueType:  INT32
Col: 423, Unique:    17, ValueType:  INT32
Col: 424, Unique:    13, ValueType:  INT32
Col: 425, Unique:    22, ValueType:  INT32
Col: 426, Unique:    17, ValueType:  INT32
Col: 427, Unique:    17, ValueType:  INT32
Col: 428, Unique:    13, ValueType:  INT32
Col: 429, Unique:    19, ValueType:  INT32
Col: 430, Unique:    13, ValueType:  INT32
Col: 431, Unique:    15, ValueType:  INT32
Col: 432, Unique:    12, ValueType:  INT32
Col: 433, Unique:    13, ValueType:  INT32
Col: 434, Unique:    52, ValueType:  INT32
Col: 435, Unique:    22, ValueType:  INT32
Col: 436, Unique:    12, ValueType:  INT32
Col: 437, Unique:    17, ValueType:  INT32
Col: 438, Unique:    35, ValueType:  INT32
Col: 439, Unique:    58, ValueType:   FP32
Col: 440, Unique:    52, ValueType:  INT32
Col: 441, Unique:    53, ValueType:  INT32
Col: 442, Unique:    67, ValueType:   FP32
Col: 443, Unique:    53, ValueType:  INT32
Col: 444, Unique:    43, ValueType:  INT32
Col: 445, Unique:    66, ValueType:  INT32
Col: 446, Unique:    42, ValueType:  INT32
Col: 447, Unique:    53, ValueType:  INT32
Col: 448, Unique:    54, ValueType:  INT32
Col: 449, Unique:    37, ValueType:   FP32
Col: 450, Unique:    44, ValueType:   FP32
Col: 451, Unique:    44, ValueType:  INT32
Col: 452, Unique:    56, ValueType:   FP32
Col: 453, Unique:    48, ValueType:  INT32
Col: 454, Unique:    40, ValueType:   FP32
Col: 455, Unique:    45, ValueType:  INT32
Col: 456, Unique:   480, ValueType:   FP32
Col: 457, Unique:    63, ValueType:  INT32
Col: 458, Unique:    30, ValueType:  INT32
Col: 459, Unique:    95, ValueType:   FP32
Col: 460, Unique:   132, ValueType:  INT32
Col: 461, Unique:    86, ValueType:   FP32
Col: 462, Unique:   172, ValueType:  INT32
Col: 463, Unique:    68, ValueType:   FP32
Col: 464, Unique:    25, ValueType:  INT32
Col: 465, Unique:   120, ValueType:  INT32
Col: 466, Unique:   123, ValueType:  INT32
Col: 467, Unique:    45, ValueType:  INT32
Col: 468, Unique:  4106, ValueType:   FP64
Col: 469, Unique: 17082, ValueType:  INT32
Col: 470, Unique:     2, ValueType:BOOLEAN
Col: 471, Unique:    67, ValueType:   FP32
