Col:   0, Unique:     2, ValueType:BOOLEAN
Col: 146, Unique: 85551, ValueType:   FP32
Col: 147, Unique: 63920, ValueType:   FP32
Col: 148, Unique:115939, ValueType:   FP32
Col: 149, Unique:  8750, ValueType:   FP32
Col: 150, Unique:128768, ValueType:   FP32
Col: 151, Unique: 66988, ValueType:   FP32
Col: 152, Unique: 86276, ValueType:   FP32
Col: 153, Unique: 74885, ValueType:   FP32
Col: 154, Unique: 59419, ValueType:   FP32
Col: 155, Unique: 93953, ValueType:   FP32
Col: 156, Unique:106147, ValueType:   FP32
Col: 157, Unique: 33544, ValueType:   FP32
Col: 158, Unique:104755, ValueType:   FP32
Col: 159, Unique:124166, ValueType:   FP32
Col: 160, Unique: 86800, ValueType:   FP32
Col: 161, Unique:140049, ValueType:   FP32
Col: 162, Unique:  9324, ValueType:   FP32
Col: 163, Unique: 45271, ValueType:   FP32
Col: 164, Unique: 99623, ValueType:   FP32
Col: 165, Unique: 98136, ValueType:   FP32
Col: 166, Unique: 98698, ValueType:   FP32
Col: 167, Unique: 14804, ValueType:   FP32
Col: 168, Unique:121787, ValueType:   FP32
Col: 169, Unique: 76606, ValueType:   FP32
Col: 170, Unique: 14958, ValueType:   FP32
Col: 171, Unique: 92022, ValueType:   FP32
Col: 172, Unique:101030, ValueType:   FP32
Col: 173, Unique:118795, ValueType:   FP32
Col: 174, Unique:103266, ValueType:   FP32
Col: 175, Unique:114038, ValueType:   FP32
Col: 176, Unique: 71799, ValueType:   FP32
Col: 177, Unique:121929, ValueType:   FP32
Col: 178, Unique: 66581, ValueType:   FP32
Col: 179, Unique:121987, ValueType:   FP32
Col: 180, Unique: 68947, ValueType:   FP32
Col: 181, Unique:100507, ValueType:   FP32
Col: 182, Unique: 43274, ValueType:   FP32
Col: 183, Unique:130480, ValueType:   FP32
Col: 184, Unique: 94101, ValueType:   FP32
Col: 185, Unique:122813, ValueType:   FP32
Col: 186, Unique: 96336, ValueType:   FP32
Col: 187, Unique: 76782, ValueType:   FP32
Col: 188, Unique:137637, ValueType:   FP32
Col: 189, Unique: 88619, ValueType:   FP32
Col: 190, Unique: 34022, ValueType:   FP32
Col: 191, Unique: 92373, ValueType:   FP32
Col: 192, Unique: 73740, ValueType:   FP32
Col: 193, Unique: 45819, ValueType:   FP32
Col: 194, Unique: 87908, ValueType:   FP32
Col: 195, Unique: 75785, ValueType:   FP32
Col: 196, Unique: 44240, ValueType:   FP32
Col: 197, Unique:102069, ValueType:   FP32
Col: 198, Unique: 31689, ValueType:   FP32
Col: 199, Unique: 73090, ValueType:   FP32
Col: 200, Unique:124689, ValueType:   FP32
