AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A387965,Dakota,,Dog,Spayed Female,10 years,Siberian Husky Mix,Black/White,Return_to_owner
A689620,Bleu,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,Blue Tick/Black,Adoption
A716147,Penny,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White,Adoption
A541994,Snuggles,,Cat,Neutered Male,6 years,American Shorthair Mix,White,Return_to_owner
A707936,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Transfer
A709668,Sheba,,Dog,Intact Female,6 years,Pit Bull Mix,Blue/Brown Brindle,Return_to_owner
A678018,,Partner,Dog,Intact Male,2 months,German Shepherd Mix,Sable/White,Transfer
A708938,,Suffering,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black,Euthanasia
A680510,,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black/White,Transfer
A668790,St. Nicks,,Dog,Neutered Male,2 months,Australian Shepherd Mix,Tricolor,Adoption
A690625,,SCRP,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby,Transfer
A673327,,Partner,Dog,Spayed Female,2 years,Carolina Dog Mix,Tan/White,Transfer
A703073,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,Transfer
A624945,Precious,,Dog,Spayed Female,3 years,American Pit Bull Terrier Mix,Yellow Brindle/White,Return_to_owner
A665840,,Partner,Dog,Intact Female,4 weeks,Labrador Retriever Mix,Black/White,Transfer
A699706,Mitch,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White,Transfer
A673571,,Suffering,Dog,Intact Male,2 years,Cardigan Welsh Corgi Mix,Black/White,Euthanasia
A688653,Emily,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A707820,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,Transfer
A522809,Fred,,Dog,Neutered Male,8 years,Catahoula/Pit Bull,White/Tan,Return_to_owner
A709069,Leo,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White,Adoption
A664350,Elvis,,Dog,Neutered Male,3 years,Welsh Terrier Mix,Tan/Brown,Return_to_owner
A612816,Roxy,Foster,Dog,Spayed Female,5 years,Dogo Argentino Mix,White,Adoption
A699737,Loki,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,White/Brown,Transfer
A669140,Martin,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,Transfer
A707619,Mandy,,Dog,Intact Female,10 years,Miniature Poodle Mix,White,Return_to_owner
A684923,,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A699984,Reynaldo,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A677734,Angel,Partner,Cat,Neutered Male,3 years,Ragdoll,Lynx Point,Transfer
A713483,Violet,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Transfer
A696537,Goofy,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A705950,Desmond,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,Adoption
A696524,Bertrand,Foster,Dog,Neutered Male,1 year,Beauceron Mix,Black/Brown,Adoption
A692205,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,Transfer
A710757,Coraje,,Dog,Neutered Male,8 months,Pointer Mix,Tricolor,Adoption
A687007,,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black,Transfer
A604969,Buddy,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Brown Brindle,Return_to_owner
A559477,Mento,Partner,Dog,Intact Male,7 years,English Bulldog,Tan/White,Transfer
A689679,Henny,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A700120,,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Black,Transfer
A685580,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,Transfer
A698601,,SCRP,Cat,Unknown,2 years,Domestic Medium Hair Mix,Brown Tabby/White,Transfer
A665624,Alix,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black Smoke/White,Adoption
A678636,Chip,,Dog,Neutered Male,10 years,German Shepherd Mix,Brown/Black,Return_to_owner
A390222,Holly,,Dog,Spayed Female,9 years,Jack Russell Terrier,White/Tan,Adoption
A708357,Mango,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A699339,Trixie,,Dog,Spayed Female,4 months,Cardigan Welsh Corgi/Chihuahua Longhair,Brown,Adoption
A661949,Marty,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A668633,Sopi,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A670441,Lorenza,,Dog,Spayed Female,2 years,Boston Terrier,Black/White,Return_to_owner
A662261,Kim,Partner,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Black/White,Transfer
A713457,Hiram,Partner,Dog,Neutered Male,1 year,Bull Terrier/Boxer,Brown Brindle/White,Transfer
A698933,Chopper,,Dog,Neutered Male,7 years,Pit Bull Mix,White/Tan,Return_to_owner
A702440,Cornflake,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,Adoption
A697366,Pajuela,,Dog,Spayed Female,4 years,Border Collie Mix,White/Black,Adoption
A704695,Glynnis,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,Transfer
A681533,,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Tortie,Transfer
A692530,,In Kennel,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby/White,Died
A686720,Milt Jackson,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A683098,Plato,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A712065,Fella,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Transfer
A681219,Junie,Partner,Dog,Spayed Female,3 years,Anatol Shepherd/Australian Cattle Dog,Tricolor,Transfer
A684898,Izy,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby,Adoption
A672451,Delgado,,Dog,Neutered Male,5 years,German Shepherd Mix,Black/Tan,Return_to_owner
A688684,,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A705476,Ash,,Dog,Unknown,1 year,German Shorthair Pointer Mix,Blue Tick,Return_to_owner
A679449,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A693322,Lola,,Dog,Spayed Female,4 years,Basset Hound,Tricolor,Adoption
A702394,Molly,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A716524,,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A664688,Apollo,,Dog,Neutered Male,3 years,German Shepherd Mix,Brown/Black,Adoption
A702539,Annie,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black,Adoption
A676134,Missy,,Dog,Intact Female,3 months,Pit Bull/Pit Bull,White,Return_to_owner
A695247,Little Ricky,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A703877,Hymn,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Brown,Adoption
A664973,Walter,,Cat,Neutered Male,2 months,Snowshoe Mix,Seal Point,Adoption
A668515,Juliette,,Dog,Spayed Female,4 months,Jack Russell Terrier,White,Adoption
A703810,,,Dog,Spayed Female,5 months,Black Mouth Cur/Blue Lacy,Sable,Adoption
A683619,,Rabies Risk,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Euthanasia
A721029,Heidi,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black,Return_to_owner
A668814,Guero,Partner,Dog,Neutered Male,4 years,Akita/Labrador Retriever,Black/White,Transfer
